business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,VAN NUYS,6,STARBUCKS COFFEE #9456,"{'latitude': '34.2084', 'longitude': '-118.5094'}",0000111880-0002-1,17272 SATICOY 91406-2103,2005-08-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,17272 SATICOY STREET,91406-2103
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #9505,"{'latitude': '34.0398', 'longitude': '-118.3303'}",0000554785-0012-1,4177 WASHINGTON 90018-1055,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,4177 W WASHINGTON BLVD,90018-1055
STARBUCKS CORPORATION,N HOLLYWOOD,2,STARBUCKS COFFEE#5839,"{'latitude': '34.1866', 'longitude': '-118.4127'}",0000024503-0001-5,12848 VICTORY 91606-3013,2000-09-30T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,12848 VICTORY BLVD,91606-3013
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #9227,"{'latitude': '34.053', 'longitude': '-118.2528'}",0000752289-0001-0,333 HOPE 90071-1406,1989-11-29T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,333 S HOPE STREET,90071-1406
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #22640,"{'latitude': '34.0035', 'longitude': '-118.4335'}",0000008207-0024-4,12404 VENICE 90066-3804,2014-09-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12404 VENICE BLVD,90066-3804
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #16980,"{'latitude': '34.1016', 'longitude': '-118.3262'}",0000111880-0016-1,6290 HOLLYWOOD 90028-5309,2012-08-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,6290 HOLLYWOOD BLVD,90028-5309
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #5284,"{'latitude': '34.0515', 'longitude': '-118.256'}",0000371553-0001-0,505 FLOWER 90071-2118,1996-07-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,505 S FLOWER STREET SUITE #B13,90071-2118
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #585,"{'latitude': '34.1691', 'longitude': '-118.6057'}",0000111880-0001-2,5422 TOPANGA CANYON 91367-6313,1994-05-22T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,5422 TOPANGA CANYON BLVD,91367-6313
STARBUCKS CORPORATION,SHERMAN OAKS,4,STARBUCKS COFFEE #5552,"{'latitude': '34.1528', 'longitude': '-118.4604'}",0000864275-0001-4,15030 VENTURA 91403-5470,1998-04-18T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,15030 VENTURA BLVD #1 A,91403-5470
STARBUCKS CORPORATION,LOS ANGELES,1,STARBUCKS COFFEE #6688,"{'latitude': '34.0554', 'longitude': '-118.2702'}",0000554785-0010-5,1601 WILSHIRE 90017-1610,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,1601 WILSHIRE BLVD,90017-1610
STARBUCKS CORPORATION,VENICE,11,STARBUCKS COFFEE COMPANY # 54500,"{'latitude': '33.9904', 'longitude': '-118.4764'}",0000037459-0014-2,909 OCEAN FRONT 90291-9006,2018-08-16T00:00:00.000,,,,424990,Other miscellaneous nondurable goods,909   OCEAN FRONT WALKS,90291-9006
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #17989,"{'latitude': '34.046', 'longitude': '-118.251'}",0000111880-0019-5,206 6TH 90014-1848,2012-09-28T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,206 W 6TH STREET,90014-1848
STARBUCKS CORPORATION,NORTHRIDGE,12,STARBUCKS COFFEE 5208,"{'latitude': '34.2563', 'longitude': '-118.536'}",0000268539-0001-9,10235 RESEDA 91324-1460,1995-09-02T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,10235 RESEDA BLVD,91324-1460
STARBUCKS CORPORATION,LOS ANGELES,1,STARBUCKS COFFEE #10586,"{'latitude': '34.0523', 'longitude': '-118.2632'}",0000554785-0003-2,1090 WILSHIRE 90017-2416,2008-02-29T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,1090 WILSHIRE BLVD,90017-2416
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE # 6577,"{'latitude': '34.0488', 'longitude': '-118.2603'}",0000554785-0001-6,735 FIGUEROA 90017-2563,2002-01-26T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,735 S FIGUEROA STREET #307,90017-2563
STARBUCKS CORPORATION,HARBOR CITY,0,STARBUCKS COFFEE #5843,"{'latitude': '33.7799', 'longitude': '-118.3095'}",0000193662-0001-3,26650 WESTERN 90710-3655,2000-09-30T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,26650 WESTERN AVENUE #C,90710-3655
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #10895,"{'latitude': '34.1684', 'longitude': '-118.6154'}",0000111880-0007-1,22435 VENTURA 91364-1580,2006-09-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,22435 VENTURA BLVD #B,91364-1580
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS #11233,"{'latitude': '34.0482', 'longitude': '-118.2543'}",0000554785-0002-4,523 6TH 90014-1217,2007-01-26T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,523 W 6TH STREET #R533S,90014-1217
STARBUCKS CORPORATION,SYLMAR,7,STARBUCKS COFFEE # 25059,"{'latitude': '34.3077', 'longitude': '-118.4307'}",0000008207-0033-3,13651 FOOTHILL 91342-3131,2015-08-20T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722300,Special food services (including food service contractors & caterers),13651 FOOTHILL BLVD,91342-3131
STARBUCKS CORPORATION,VALLEY VILLAGE,2,STARBUCKS COFFEE #6610,"{'latitude': '34.1576', 'longitude': '-118.3964'}",0000583456-0001-7,4800 LAUREL CANYON 91607-3717,2002-03-09T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,4800 LAUREL CANYON BLVD,91607-3717
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5494,"{'latitude': '34.0623', 'longitude': '-118.4472'}",0000066929-0001-2,10955 WEYBURN 90024-2811,1999-07-24T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,10955 WEYBURN AVENUE,90024-2811
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #5394,"{'latitude': '34.0226', 'longitude': '-118.4388'}",0000472042-0001-3,11705 NATIONAL 90064-3644,1997-06-30T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,11705 NATIONAL BLVD,90064-3644
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #5402,"{'latitude': '34.0979', 'longitude': '-118.343'}",0000456797-0001-8,7055 SUNSET 90028-7509,1997-05-10T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,7055 W SUNSET BLVD,90028-7509
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #5911,"{'latitude': '34.0616', 'longitude': '-118.3059'}",0000411884-0001-7,3680 WILSHIRE 90010-2707,2001-05-05T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,3680 WILSHIRE BLVD,90010-2707
