,zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
102,94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,680 Mission St,"{'type': 'Point', 'coordinates': [-122.401767, 37.786481]}",2006-07-10T00:00:00.000,2018-04-18T00:00:00.000
103,94117,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,310 Broderick St,"{'type': 'Point', 'coordinates': [-122.439119, 37.773024]}",2006-09-18T00:00:00.000,0
104,94111,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1 California St,"{'type': 'Point', 'coordinates': [-122.397317, 37.793534]}",2006-12-11T00:00:00.000,0
105,94118,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,5201 Geary Blvd,"{'type': 'Point', 'coordinates': [-122.475276, 37.780453]}",2006-11-27T00:00:00.000,0
106,94132,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1509 Sloat Blvd,"{'type': 'Point', 'coordinates': [-122.489163, 37.734038]}",2012-09-26T00:00:00.000,0
107,94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,555 9th St #B5,"{'type': 'Point', 'coordinates': [-122.407662, 37.770594]}",2007-12-03T00:00:00.000,0
108,94109,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1400 Van Ness Ave,"{'type': 'Point', 'coordinates': [-122.421908, 37.788633]}",2008-11-24T00:00:00.000,0
109,94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,595 Market St,"{'type': 'Point', 'coordinates': [-122.400916, 37.789648]}",2008-11-17T00:00:00.000,0
110,94108,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,101 Post St,"{'type': 'Point', 'coordinates': [-122.403893, 37.788865]}",2014-08-19T00:00:00.000,0
111,94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,337 Seawall Lot Lnd Area 1-1,0,2015-02-27T00:00:00.000,2016-02-14T00:00:00.000
112,94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,773 Market St,0,2016-07-22T00:00:00.000,0
113,94102,Peet's Coffee & Tea,Evans Brothers Cabinets,San Francisco,773 Market St,0,2016-08-01T00:00:00.000,2018-05-24T00:00:00.000
114,94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,625 8th St B1,0,2019-04-11T00:00:00.000,0
115,94123,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2156 Chestnut St,"{'type': 'Point', 'coordinates': [-122.438913, 37.800474]}",1989-01-01T00:00:00.000,2013-05-31T00:00:00.000
116,94127,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,54 West Portal Ave,"{'type': 'Point', 'coordinates': [-122.466578, 37.740177]}",1989-01-01T00:00:00.000,0
117,94114,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2257 Market St,"{'type': 'Point', 'coordinates': [-122.432007, 37.764979]}",1992-01-10T00:00:00.000,0
118,94104,Peet's Coffee And Tea,Peet's Coffee & Tea Inc,San Francisco,155 Montgomery St,0,2017-04-17T00:00:00.000,0
119,94103,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,855 Brannan St,0,2018-05-11T00:00:00.000,2018-05-31T00:00:00.000
120,94105,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,595 Mission St,"{'type': 'Point', 'coordinates': [-122.399703, 37.788081]}",2002-01-01T00:00:00.000,0
121,94111,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,22 Battery St,"{'type': 'Point', 'coordinates': [-122.399629, 37.791547]}",1995-08-01T00:00:00.000,0
122,94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,405 Howard St,"{'type': 'Point', 'coordinates': [-122.395477, 37.788955]}",2007-01-04T00:00:00.000,0
123,94118,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3419 California St,"{'type': 'Point', 'coordinates': [-122.45046, 37.786755]}",1989-01-01T00:00:00.000,0
124,94115,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2197 Fillmore St,"{'type': 'Point', 'coordinates': [-122.434031, 37.78982]}",1995-08-01T00:00:00.000,0
125,94132,Peet's Coffee & Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3251 20th Ave,"{'type': 'Point', 'coordinates': [-122.475605, 37.727905]}",2013-06-24T00:00:00.000,0
126,94117,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,919 Cole St,"{'type': 'Point', 'coordinates': [-122.449934, 37.76564]}",2013-07-29T00:00:00.000,0
127,94132,Peet's Coffee & Tea,Emmar Brands Corporation,San Francisco,1630 Holloway Ave,"{'type': 'Point', 'coordinates': [-122.477631, 37.720868]}",2012-04-09T00:00:00.000,0
128,94123,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,2080 Chestnut St,"{'type': 'Point', 'coordinates': [-122.437864, 37.800607]}",2014-02-01T00:00:00.000,0
129,94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,121 Spear St,0,2016-07-22T00:00:00.000,0
130,94102,Peet's Coffee & Tea,Peet's Coffee & Tea,San Francisco,1400 Mission St Ste 130,0,2016-10-07T00:00:00.000,2016-10-07T00:00:00.000
131,94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,692 Mission St,0,2006-07-10T00:00:00.000,0
132,94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1400 Mission St Ste 130,0,2018-01-01T00:00:00.000,0
133,94110,Phil'z Coffee,Philz Coffee Inc,San Francisco,3101 24th St,"{'type': 'Point', 'coordinates': [-122.414084, 37.752505]}",2007-04-01T00:00:00.000,0
134,94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,4298 24th St,"{'type': 'Point', 'coordinates': [-122.438524, 37.751028]}",2012-03-30T00:00:00.000,0
135,94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,4023 18th St,"{'type': 'Point', 'coordinates': [-122.433294, 37.760994]}",2007-08-01T00:00:00.000,2015-10-05T00:00:00.000
136,94110,Phil'z Coffee,Philz Coffee Inc,San Francisco,1300 Potrero Ave,"{'type': 'Point', 'coordinates': [-122.406211, 37.751148]}",2009-11-01T00:00:00.000,2015-02-28T00:00:00.000
137,94124,Phil'z Coffee,Philz Coffee Inc,San Francisco,301 Toland Street,"{'type': 'Point', 'coordinates': [-122.397423, 37.745551]}",2012-04-01T00:00:00.000,2015-06-22T00:00:00.000
138,94102,Phil'z Coffee,Philz Coffee Inc,San Francisco,399 Golden Gate Ave,"{'type': 'Point', 'coordinates': [-122.416884, 37.781482]}",2013-02-01T00:00:00.000,0
139,94109,Phil'z Coffee,Philz Coffee Inc,San Francisco,2234 Polk St,0,2019-06-10T00:00:00.000,0
140,94111,Phil'z Coffee,Philz Coffee Inc,San Francisco,1 Front St,"{'type': 'Point', 'coordinates': [-122.398473, 37.791868]}",2015-03-10T00:00:00.000,0
141,94111,Phil'z Coffee,Philz Coffee Inc,San Francisco,5 Embarcadero Ctr,"{'type': 'Point', 'coordinates': [-122.396158, 37.795106]}",2015-06-02T00:00:00.000,0
142,0,Phil'z Coffee,Philz Coffee Inc,San Francisco,1258 Minnesota St,"{'type': 'Point', 'coordinates': [-122.389903, 37.754289]}",2015-02-01T00:00:00.000,0
143,94158,Phil'z Coffee,Philz Coffee Inc,San Francisco,201 Berry St,"{'type': 'Point', 'coordinates': [-122.391601, 37.777184]}",2007-04-01T00:00:00.000,0
144,94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,549 Castro St,"{'type': 'Point', 'coordinates': [-122.434916, 37.760068]}",2015-04-23T00:00:00.000,0
