with_advanced_deg,zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,year,pct_25_34,pct_college_deg,pct_wht
5084,90035,29113,1769,1129,1622,1518,1318,858,1189,1114,21504,7722,2011,19.403702813176242,43.987222203139495,73.86390959365232
6361,90036,36124,2776,2338,1983,2169,1878,1304,1385,1325,23480,12045,2011,26.118370058686747,50.952275495515444,64.99833905436829
1457,90038,30498,1570,1177,1817,1646,682,500,905,804,12865,3964,2011,18.82418519247164,17.774936061381077,42.1830939733753
2737,90039,29262,954,1296,1500,1291,555,781,1019,949,17777,6464,2011,17.24420750461349,31.443510354726268,60.75114482947167
2255,90041,28857,1124,734,982,727,490,384,555,456,15426,4873,2011,12.385209827771424,24.701112381744466,53.456700280694456
3536,90042,63424,2356,2715,2837,2794,1273,1638,1577,1675,39252,7140,2011,16.749180121089807,16.832744702320888,61.88824419778002
5419,90045,40150,1436,1482,1648,1501,609,783,774,807,24050,7940,2011,15.063511830635118,33.27272727272727,59.90037359900373
7074,90046,49212,3301,2594,3860,3485,2651,2052,3050,2777,40643,16125,2011,25.093473136633342,47.1409412338454,82.58758026497603
1151,90047,47550,1466,1763,1309,1231,181,308,406,342,6910,3286,2011,13.25131440588854,9.331230283911673,14.532071503680335
4344,90048,20931,1521,1065,1207,1306,1270,763,1052,1030,17950,6741,2011,23.209593426018824,52.95972481009029,85.75796665233386
9201,90049,36451,2368,1517,1660,1262,1877,1217,1342,1052,30956,11515,2011,19.37395407533401,56.832460014814416,84.92496776494472
899,90057,43808,1928,2127,2980,2298,466,515,937,575,13916,3519,2011,20.91398831263696,10.08491599707816,31.765887509130753
5011,90064,25633,1152,1019,1307,887,682,644,775,547,18181,6225,2011,17.54379120664768,43.834120079584906,70.92810049545508
2955,90065,46844,1672,1788,1632,1962,738,739,833,984,22364,5835,2011,14.68704636666382,18.764409529502178,47.741439672103155
8059,90066,56210,2703,2879,2887,2563,1353,1449,1673,1656,35205,11974,2011,20.188578544742928,35.63956591353852,62.63120441202633
433,90067,2468,40,49,12,43,24,49,12,43,1944,911,2011,6.077795786061588,54.45705024311182,78.7682333873582
4217,90068,22048,1158,967,1060,1474,858,661,952,1200,17535,7272,2011,18.83164005805515,52.10903483309144,79.53102322206095
3882,90069,19789,1053,760,1333,1383,906,556,951,1237,16971,7044,2011,19.738238415281216,55.21249178836728,85.75976552630249
0,90071,0,0,0,0,0,0,0,0,0,0,0,2011,0.0,0.0,0.0
2520,90077,8571,122,170,180,157,97,140,143,137,7621,1925,2011,7.490374518725937,51.86092637965232,88.91611247229028
50,90089,3516,57,12,26,6,6,0,8,0,1761,26,2011,3.043230944254835,2.1615472127417523,50.08532423208191
1361,90094,4994,459,508,270,594,265,171,181,468,2833,1703,2011,34.941930316379654,61.35362434921906,56.72807368842611
4204,90230,32019,1144,859,881,1183,608,327,380,579,17399,6121,2011,11.68993410162716,32.246478653299604,54.33961085605422
2066,90232,15001,520,549,661,740,224,211,374,500,9678,3388,2011,15.192320511965868,36.35757616158923,64.51569895340312
6531,90272,22765,205,369,279,245,194,347,279,235,20999,5686,2011,5.367889303755765,53.66571491324401,92.24247748737096
