with_advanced_deg,zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,year,pct_25_34,pct_college_deg,pct_wht
5026,91604,28323,1505,1560,1062,1488,1174,1137,972,1268,23822,8185,2012,20.079087667266883,46.644070190304696,84.10832185856017
1261,91605,55313,2545,1885,2423,2237,961,918,1116,1003,27739,4743,2012,15.79737132319708,10.854591144938802,50.14915119411349
1692,91606,46880,1717,1744,2356,2238,924,1035,1151,1180,27089,5003,2012,16.128412969283275,14.281143344709898,57.783703071672356
3099,91607,28821,1440,1281,1626,1300,1173,837,1220,990,22581,7137,2012,19.52742791714375,35.51576975122306,78.34912043301759
2664,94102,25531,1444,984,1415,1403,816,438,719,972,11538,4659,2012,18.906427480318044,28.682777799537817,45.19211938427794
2547,94103,23909,1367,1057,1529,1640,462,631,837,1078,11257,5617,2012,20.954452298297713,34.14613743778494,47.082688527332806
43,94104,305,0,0,3,0,0,0,0,0,195,94,2012,0.9836065573770493,44.91803278688525,63.934426229508205
1637,94105,4801,376,532,620,677,233,106,334,233,2566,2167,2012,42.907727556759006,79.23349302228702,53.44719850031243
7063,94107,26762,1542,2134,1737,2234,971,1197,1247,1453,16649,8643,2012,28.20043345041477,58.687691502877215,62.21134444361408
1406,94108,13518,740,623,833,499,432,349,411,333,4509,2477,2012,20.853676579375644,28.724663411747297,33.3555259653795
9620,94109,54412,4651,3585,4054,3474,2897,2225,2862,2391,32224,17652,2012,29.17554951113725,50.121296772770705,59.222230390355065
10812,94110,70804,4199,4746,4430,4567,2862,3416,3258,3325,47182,17012,2012,25.593186825603077,39.297214846618836,66.63747810858143
913,94111,3493,146,156,124,216,79,90,105,176,2085,1019,2012,16.66189521900945,55.31062124248497,59.69081019181219
4220,94112,80726,3173,2800,3113,2929,964,1164,1315,1315,27048,11771,2012,14.723880781904219,19.808983474964695,33.50593365210713
10585,94114,32328,1532,1672,1451,2293,1245,1295,1111,1987,26743,10470,2012,19.571269487750556,65.12929967829744,82.72395446671615
7871,94115,32882,2158,2097,2086,2131,1430,1377,1249,1584,19984,9619,2012,25.66145611580804,53.190195243598325,60.774892038197194
5016,94116,43923,1561,1314,1673,1041,600,597,794,379,17143,10616,2012,13.346082917833483,35.58955444755595,39.029665551078025
8967,94117,40932,3395,2847,3682,3696,2630,1981,2754,2753,29317,14137,2012,31.200527704485488,56.44483533665592,71.62366852340467
7553,94118,39567,1937,1914,2452,1798,1212,1277,1554,1313,21367,10465,2012,20.767306088407008,45.53794829024187,54.00207243409913
6876,94121,43597,2195,1689,2016,1270,1144,814,1056,631,20065,11053,2012,17.407161043191046,41.12438929284125,46.02380897768195
9447,94122,57805,3606,2961,3204,2490,1951,1687,1782,1422,25449,14882,2012,22.0257763169276,42.088054666551336,44.02560332151198
5927,94123,23710,2859,1930,1783,1594,2375,1526,1575,1420,19921,10322,2012,35.858287642345005,68.53226486714466,84.01940109658372
1336,94124,34296,1158,943,1700,1204,235,285,539,248,6997,2767,2012,13.83251691159319,11.963494285047819,20.401796127828316
4312,94127,19075,315,288,678,563,95,177,263,403,11105,5103,2012,8.225425950196593,49.357798165137616,58.217562254259505
558,94129,2730,338,196,275,356,298,136,195,356,2236,1119,2012,36.81318681318682,61.42857142857143,81.9047619047619
139,94130,2501,144,101,223,45,35,16,121,24,1204,420,2012,22.750899640143942,22.351059576169533,48.14074370251899
7134,94131,27914,1051,1277,1151,1472,703,904,781,1078,19150,7710,2012,17.03804542523465,53.17761696639679,68.60356810202765
3452,94132,31425,1109,1209,943,921,397,350,482,303,12366,5987,2012,14.22434367541766,30.03659506762132,39.35083532219571
3743,94133,27580,1861,949,1784,2026,1099,495,1255,1198,10994,6453,2012,20.09789702683104,36.96881798404641,39.86221899927484
1390,94134,38889,1122,1076,1244,1190,241,243,383,277,8250,4562,2012,11.617681092339737,15.305099128288205,21.214225102213994
1456,94158,4340,584,181,578,518,295,31,193,192,1901,1223,2012,35.115207373271886,61.72811059907835,43.80184331797235
4613,94608,25994,1524,1449,1432,1934,828,414,696,824,10177,5733,2012,22.520581672693698,39.80149265215049,39.15134261752712
5644,94901,40663,1274,1426,1700,1790,504,703,654,837,27292,7377,2012,14.327521333890761,32.02173966505177,67.11752699013846
512,95838,35849,1361,1034,1894,980,540,328,734,536,15049,1376,2012,14.848391865881894,5.266534631370471,41.97885575608804
1996,98101,9851,914,487,828,836,702,334,636,549,7362,2779,2012,27.570804994416807,48.47223632118567,74.73352959090448
4633,98102,21805,2560,1466,2228,1776,2259,1250,1731,1508,18037,7619,2012,35.4047236872277,56.188947489107996,82.71955973400597
9802,98103,44766,3767,2730,3371,2808,3064,2071,3004,2306,37159,14894,2012,28.14189340124201,55.16686771210294,83.00719295894206
1063,98104,12630,819,461,902,779,560,250,560,385,5962,2497,2012,20.926365795724465,28.18685669041964,47.20506730007918
6775,98105,45268,2016,903,2069,1255,1376,690,1548,871,32453,6981,2012,13.013607846602456,30.387911990810284,71.69081912167535
1102,98106,23380,1201,1221,1161,1040,775,544,794,621,13365,3804,2012,20.54747647562019,20.983746792130027,57.16424294268606
4080,98107,21793,2005,1649,2270,1835,1650,1208,2093,1751,18742,6941,2012,34.74969026751709,50.57128435736246,86.00009177258752
1188,98108,23587,1138,998,815,837,587,339,446,483,7441,3160,2012,16.742273286132193,18.43388307118328,31.54703862297028
4282,98109,21221,2071,1385,2218,1542,1619,1093,1615,1213,16751,7295,2012,33.264219405306065,54.554450779887844,78.93595966259836
6344,98112,21678,1187,1117,1047,865,1011,868,952,739,18278,6082,2012,20.610757449949258,57.32078605037365,84.31589630039672
11610,98115,46336,2380,1947,2566,2297,1857,1552,1930,1796,38088,12767,2012,19.07803867403315,52.6092023480663,82.19958563535911
3739,98116,23056,941,1032,727,1080,720,815,687,799,20109,6388,2012,16.186675919500345,43.9234906315059,87.2180777238029
5671,98117,31391,924,1428,854,1276,770,1191,761,1214,27475,8759,2012,14.76219298525055,45.96858972316906,87.52508680832085
4166,98118,43765,1320,1641,1296,1317,391,805,378,523,14771,6086,2012,13.476522335199359,23.42511139038044,33.75071404090026
4715,98119,21971,1645,989,1147,1101,1265,734,950,943,18488,5803,2012,21.710436484456782,47.87219516635565,84.1472850575759
2795,98121,11914,858,559,1232,756,538,373,937,455,8332,3277,2012,26.926305187174755,50.965250965250966,69.93453080409601
5601,98122,31287,2442,1708,2539,2100,1841,1475,1833,1708,20596,7573,2012,26.838623070284783,42.10694537667401,65.82925815834052
5236,98125,36028,1695,1595,2279,1902,1060,1158,1231,1326,25337,8250,2012,19.884534251138003,37.431997335405796,70.32585766625957
2690,98126,20448,969,1123,855,1023,711,830,525,905,14326,4834,2012,19.90414710485133,36.79577464788733,70.06064162754303
4066,98133,44307,2217,1801,1718,2175,1480,1106,1159,1523,30266,8515,2012,17.01085607240391,28.39506172839506,68.30974789536643
185,98134,915,42,83,24,87,15,16,24,23,412,61,2012,25.3551912568306,26.885245901639344,45.02732240437158
2314,98136,14544,484,750,623,552,420,648,583,510,12853,4132,2012,17.924917491749177,44.32068206820682,88.37321232123212
3736,98144,26329,1100,1167,1482,982,556,715,902,783,12268,5604,2012,18.671426943674273,35.47419195563827,46.59500930532873
1452,98146,24572,789,923,705,971,418,410,355,620,15610,2745,2012,13.592707146345434,17.08041673449455,63.52759238157252
180,90001,54760,2126,2158,2795,2031,1403,1456,1787,1336,32886,885,2013,16.868151935719503,1.9448502556610663,60.05478451424398
3679,90004,62760,2554,2602,3021,3092,873,971,1017,1022,21165,10788,2013,17.174952198852772,23.051306564690886,33.72370936902486
1406,90007,43173,2075,1010,2535,1631,661,271,836,615,14699,2552,2013,15.356820234869014,9.167766891344128,34.04674217682348
529,90010,4133,308,240,323,185,75,0,83,15,813,1134,2013,26.881200096782,40.23711589644326,19.670941204935882
2011,90012,29528,1522,847,2254,1907,497,204,824,829,8475,3490,2013,18.524790029802222,18.62977512869141,28.70157138986724
960,90013,10256,445,372,713,635,233,122,360,330,3343,1959,2013,18.545241809672387,28.461388455538223,32.59555382215289
639,90014,6008,423,210,417,498,258,82,345,336,2766,1193,2013,20.972037283621837,30.492676431424766,46.03861517976032
867,90015,18358,842,636,815,1214,309,167,337,363,6210,1889,2013,15.954897047608672,15.01252859788648,33.82721429349602
1516,90016,47273,2053,1713,1495,1628,429,370,463,491,11746,3623,2013,14.752607196496944,10.870898821737567,24.847164343282635
929,90017,23755,1335,1225,1758,1595,332,360,367,479,6404,1942,2013,23.33403494001263,12.08587665754578,26.95853504525363
1364,90018,48498,2089,1738,2060,1826,354,335,370,339,8483,2826,2013,15.722297826714504,8.63953152707328,17.49144294610087
4460,90019,65408,2803,2547,3036,2610,1175,1098,1154,1152,24788,9845,2013,16.71508072407045,21.870413405088062,37.897504892367905
2363,90020,39866,2103,1804,2290,2263,462,246,542,477,9313,7955,2013,20.06973360758541,25.881703707419856,23.360758541112727
86,90021,2940,102,79,178,210,8,17,142,51,1105,381,2013,14.897959183673471,15.884353741496598,37.58503401360544
375,90023,45126,1880,1812,1637,1635,777,723,666,622,19913,1137,2013,15.824580064707709,3.3506182688472275,44.12755396002305
7669,90024,50964,2195,1170,2408,1270,1192,662,1710,809,31424,8388,2013,13.62334196687858,31.5065536457107,61.65921042304372
9237,90025,43555,3420,2959,3460,2811,1983,1753,1951,1621,26673,13207,2013,29.383538055332338,51.530249110320284,61.2398117322925
4301,90026,68726,3532,3684,3444,4248,2295,2681,2431,3009,43685,11719,2013,20.871285976195324,23.309955475365946,63.564007799086234
5815,90027,45942,2734,2214,3086,2835,1936,1372,2296,1834,30895,11576,2013,22.306386313177484,37.85425101214575,67.24783422576292
2090,90028,28151,1892,1357,2414,2083,1309,770,1216,1313,16520,6459,2013,24.93694717772015,30.368370572981423,58.683528116230335
1686,90029,40208,1958,1504,2248,2400,931,658,1156,933,16655,5300,2013,17.941703143653005,17.37465181058496,41.42210505372066
944,90031,40052,1530,1258,1512,1666,511,418,512,665,14195,2418,2013,13.876959952062318,8.39408768600819,35.44142614601019
474,90033,49049,1687,1490,2148,1493,835,903,1015,828,25094,1538,2013,13.894268996309814,4.10202042855104,51.16108381414504
8562,90034,58703,4694,3794,4276,4274,2718,2004,2664,2492,35220,13913,2013,28.206394903156568,38.28594790726198,59.996933717186515
4973,90035,30999,1388,1698,1562,1609,1014,1263,1222,1029,21964,8571,2013,20.471628117036033,43.69173199135456,70.85389851285525
6040,90036,36101,2681,2536,1902,2565,1734,1623,1279,1542,23018,12091,2013,26.744411512146478,50.22298551286668,63.76000664801529
1337,90038,29836,1731,1172,1874,1487,640,473,891,691,11764,3941,2013,19.93899986593377,17.690038879206327,39.42887786566564
2794,90039,27049,994,1295,1261,1195,575,773,768,821,15888,6352,2013,17.91193759473548,33.81271026655329,58.73784613109542
2777,90041,28203,928,849,1053,1061,429,422,566,681,15700,5588,2013,13.044711555508279,29.659965251923552,55.66783675495515
3229,90042,60623,2434,2601,2687,2546,1067,1442,1179,1313,33033,7271,2013,17.02819062072151,17.320159015555152,54.48922026293651
5693,90045,40272,1422,1656,1671,1444,730,833,830,793,25085,8247,2013,15.90435041716329,34.61462058005562,62.28893524036552
6821,90046,50499,3644,3141,3806,3404,2984,2202,2816,2549,40590,17536,2013,27.192617675597536,48.232638270064754,80.37782926394583
1308,90047,47533,1420,1649,1406,1298,166,312,383,339,7087,3592,2013,12.883680811225883,10.308627690236257,14.909641722592726
4566,90048,21316,1446,1385,1187,1174,1151,914,938,849,17559,6680,2013,25.347157065115404,52.75849127416026,82.37474197785701
9519,90049,35310,1883,1411,1601,1159,1582,990,1399,914,30105,10985,2013,17.858963466440102,58.068535825545176,85.25913338997451
961,90057,45392,1962,2092,3007,2683,406,342,702,545,10730,4145,2013,20.164346140289037,11.2486781811773,23.638526612618964
5660,90064,26103,1121,891,1142,871,709,619,832,543,18760,5987,2013,15.496303106922577,44.619392407003026,71.86913381603647
3227,90065,45242,1543,1798,1551,1925,666,751,702,867,20812,5374,2013,14.787144688563725,19.011095884355246,46.001503028159675
7391,90066,59031,3004,2906,2603,3080,1927,1447,1696,2051,37393,13805,2013,19.34407345293151,35.90655757144551,63.34468330199387
348,90067,2312,57,46,21,26,39,46,21,0,1920,822,2013,7.352941176470589,50.60553633217994,83.04498269896193
3838,90068,22043,1095,1170,985,1572,799,893,880,1229,17496,7121,2013,20.051717098398587,49.716463276323545,79.37213627909087
3985,90069,20731,1333,725,1537,1764,935,586,1059,1390,16652,7444,2013,20.838358014567557,55.1299985528918,80.32415223578217
0,90071,0,0,0,0,0,0,0,0,0,0,0,2013,0.0,0.0,0.0
2657,90077,8506,98,127,168,131,70,110,130,111,7495,1755,2013,6.113331765812368,51.869268751469555,88.11427227839172
25,90089,3276,35,12,12,6,5,0,7,0,1728,22,2013,2.167277167277167,1.4346764346764347,52.74725274725275
1761,90094,5852,565,607,255,489,365,234,131,298,3044,1790,2013,34.757347915242654,60.68010936431989,52.01640464798359
4417,90230,32335,1013,1132,1020,1302,442,595,554,707,19454,6206,2013,13.289005721354568,32.85294572444719,60.16390907685171
2225,90232,15454,561,748,738,686,320,307,511,484,10652,3104,2013,18.08593244467452,34.482981752297135,68.92713860489194
6400,90272,22779,182,426,256,250,153,373,241,235,20734,6014,2013,5.6631107599104435,54.49756354537073,91.02243294262259
4566,90291,27253,1625,1520,1426,1730,1211,1169,1172,1494,21738,8488,2013,22.349833045903203,47.89931383700877,79.76369573991853
4765,90292,21536,1350,1158,957,1073,985,829,730,812,17068,7256,2013,21.466381872213965,55.818164933135215,79.25334323922733
2357,90501,42373,1487,1462,1559,1948,518,542,584,566,17758,5771,2013,14.08916055035046,19.182026290326387,41.908762655464564
1419,90710,26830,1040,698,1045,1039,603,365,529,573,14806,3081,2013,12.974282519567648,16.772269847185985,55.18449496831904
2415,90731,61432,2269,1859,2562,2138,1555,1132,1719,1677,43751,6098,2013,13.91620002604506,13.857598645656989,71.2185831488475
1746,90732,19651,621,476,574,517,466,372,463,408,15534,3207,2013,10.925652638542568,25.20482418197547,79.04941224365172
1293,91040,19296,784,592,558,704,509,535,443,594,15159,2943,2013,13.090796019900496,21.95273631840796,78.56032338308458
1084,91303,26744,1086,1370,1180,1720,607,825,567,1124,16286,2892,2013,18.7182171702064,14.866886030511516,60.89590188453485
1965,91306,47879,1767,1703,2007,2088,576,725,879,853,20979,5370,2013,14.99613609306794,15.319868836024146,43.81670460953654
3261,91307,25496,478,423,534,556,270,261,368,399,18597,5117,2013,7.287417634138689,32.860056479447756,72.94085346721054
3763,91311,38117,1247,1137,1007,1239,760,571,562,646,23816,7166,2013,11.87921399900307,28.672245979484217,62.48130755306032
3675,91316,27736,1489,1167,1369,1313,1125,891,1121,1020,22893,6893,2013,18.71935390827805,38.10210556677242,82.53893856359966
1947,91324,27304,834,809,1012,832,461,294,500,424,14500,4232,2013,12.686785818927628,22.63038382654556,53.10577204805157
2793,91325,33121,1246,977,1478,1035,591,598,724,379,19330,5323,2013,14.123969686905587,24.504091060052534,58.36176443947948
3110,91335,76616,2091,2823,3267,3022,1302,1855,2176,1928,51676,8112,2013,14.3625352406808,14.647071107862589,67.44805262608332
2470,91342,89686,2842,2830,3025,2750,1535,1674,1871,1535,55965,6881,2013,12.852619137881053,10.426376469014116,62.401043641148
2373,91343,62321,2177,2300,2629,2481,1078,1168,1287,1203,33597,6446,2013,15.09282585324369,14.150928258532435,53.90959708605446
4143,91344,52892,1471,1366,1363,1337,904,757,739,690,34458,8517,2013,10.523330560387203,23.935566815397415,65.14784844588974
673,91345,18254,659,543,800,737,376,328,392,485,10434,1842,2013,13.942149665826667,13.77780212556152,57.16007450421825
1099,91352,46334,1757,1904,1932,1682,1260,1482,1350,1201,34950,3081,2013,16.180342728881598,9.021452928734838,75.43056934432599
3259,91356,30090,848,1019,930,1021,473,660,547,729,23175,6631,2013,12.68195413758724,32.86806247922898,77.01894317048853
3834,91364,25971,660,551,773,597,441,446,666,482,20809,6032,2013,9.760887143352202,37.98852566323977,80.12398444418774
5373,91367,40506,1429,1669,1460,1429,598,801,1015,778,28726,9968,2013,15.373031155878142,37.873401471386956,70.91788870784576
2542,91401,39466,1644,1798,1945,1697,751,1037,1299,1089,25388,5824,2013,18.205544012567778,21.197993209344755,64.32878933765774
1076,91402,71486,2984,3055,3369,2773,1226,1417,1538,1231,30065,5563,2013,17.434182916934784,9.28713314495146,42.05718602243796
4126,91403,23672,1027,960,992,1242,731,757,606,882,19152,6905,2013,16.63991213247719,46.59935789117945,80.90571138898277
1863,91405,54435,1581,2477,2773,2140,684,1099,1289,1014,25564,4823,2013,17.099292734453936,12.282538807752365,46.96243225865712
2238,91406,52682,2189,2073,2341,2188,952,1037,1043,849,26698,5473,2013,16.468623059109373,14.636877870999582,50.677650810523524
4614,91423,31466,1519,1639,1168,1759,1236,1201,771,1298,25063,8509,2013,18.956969427318377,41.705332740100424,79.6510519290663
3122,91436,14147,180,302,316,267,100,262,181,221,12604,3356,2013,7.775500106029547,45.79062698805401,89.09309394217856
2565,91601,37807,2446,1844,2875,1956,1759,1002,2099,1452,26038,7157,2013,23.828920570264767,25.714814716851375,68.87084402359352
2005,91602,17771,1025,1201,935,1134,770,778,649,762,13442,5948,2013,24.545608013054977,44.752686961904224,75.64008778346745
4829,91604,28468,1415,1418,1103,1359,1084,1075,1006,1033,23890,8561,2013,18.807081635520582,47.03526766896164,83.91878600533933
1342,91605,55793,2382,1941,2463,2131,1045,1058,1074,1058,30156,4741,2013,15.641747172584374,10.902801426702274,54.0497911924435
1463,91606,45788,1711,1716,2251,2194,808,938,1215,1078,25511,5061,2013,16.14833580850878,14.2482746571154,55.715471302524676
2863,91607,28993,1274,1210,1719,1274,1013,807,1268,958,22542,6883,2013,18.670023798848,33.61501051978063,77.74980167626669
2735,94102,25881,1515,947,1888,1474,829,514,1030,986,11654,5335,2013,20.46675167111008,31.18117537962212,45.029171979444385
2517,94103,23907,1250,991,1479,1742,440,444,834,955,10998,5435,2013,19.70552557828251,33.262224453089054,46.00326264274062
40,94104,211,0,0,20,0,0,0,11,0,128,64,2013,9.47867298578199,49.28909952606635,60.66350710900474
2148,94105,5553,508,506,653,541,349,56,377,147,3070,2169,2013,39.13200072033135,77.74176121015667,55.285431298397256
7249,94107,27856,1406,2595,1475,2327,761,1564,1020,1482,16641,8940,2013,28.97400919012062,58.11674325100517,59.73937392303274
1402,94108,13709,922,593,822,426,492,204,490,224,4541,2980,2013,21.372820774673574,31.964402946969145,33.12422496170399
10222,94109,55519,5148,3497,4224,3851,3220,2275,2726,2912,32779,17866,2013,29.478196653397937,50.591689331580184,59.04104901024875
11674,94110,72128,4011,4780,4520,4658,2917,3491,3135,3183,47214,18024,2013,25.08179902395741,41.17402395740905,65.45862910381544
890,94111,3496,121,200,119,177,80,123,111,130,2096,1090,2013,18.306636155606405,56.63615560640732,59.95423340961098
4634,94112,82726,3418,2859,3252,3003,915,1129,1221,1299,27788,11521,2013,14.974735875057418,19.528322413751418,33.59040688538065
10557,94114,31397,1426,1602,1446,2457,1141,1235,1163,2143,25650,10018,2013,19.352167404529094,65.53173870114979,81.69570341115393
8270,94115,33782,2427,2146,2105,2241,1633,1390,1318,1717,20361,9868,2013,26.120419158131547,53.69131490142679,60.27174234799597
5134,94116,45157,1659,1585,1591,1308,720,572,737,320,17398,10219,2013,14.217064906880438,33.99915849148527,38.52780299842771
9155,94117,41568,3209,2940,4047,3636,2506,2164,2828,2687,30702,14548,2013,31.601231716705158,57.0222286374134,73.85969976905312
8072,94118,40292,2159,2095,2499,1800,1236,1233,1537,1344,21797,10635,2013,21.95969423210563,46.42857142857143,54.09758761044377
6832,94121,42104,2099,1587,2156,1341,1147,872,1108,850,20190,10702,2013,17.644404332129966,41.644499334980054,47.95268858065742
8939,94122,57369,3292,2855,3150,2558,1623,1561,1703,1313,24407,14632,2013,21.182171556066866,41.086649584270255,42.54388258467117
6360,94123,24500,2880,1788,2026,1748,2439,1450,1867,1456,20474,10592,2013,34.6204081632653,69.19183673469388,83.56734693877551
1438,94124,35309,1295,1051,1655,1305,287,258,461,321,6877,3287,2013,14.307966807329574,13.381857316831402,19.47662069160837
4662,94127,19576,439,475,734,655,160,240,379,523,11453,5445,2013,10.844912137310994,51.62954638332652,58.5053126277074
769,94129,2787,311,167,172,298,272,120,142,298,2365,981,2013,29.314675278076784,62.79153211338356,84.85827054180122
156,94130,2654,169,95,264,81,58,9,159,39,1134,452,2013,23.474001507159006,22.90881688018086,42.72795779954785
7342,94131,26908,999,1312,1078,1352,557,858,635,989,17868,7532,2013,17.470640701650066,55.27724096922848,66.40404340716516
3108,94132,31080,1081,1051,924,834,419,366,394,294,11977,6207,2013,13.214285714285715,29.97104247104247,38.53603603603604
3646,94133,27970,1737,1188,1716,1924,1067,671,1243,1116,11248,6951,2013,20.840185913478727,37.887021809081155,40.21451555237755
1461,94134,38815,1144,1239,1288,1250,212,276,455,277,8246,4639,2013,12.649748808450342,15.715573876078837,21.244364292155094
1872,94158,5219,675,319,714,652,357,48,372,233,2477,1476,2013,38.83885801877754,64.15022034872581,47.46119946349875
4650,94608,26288,1610,1353,1524,1934,892,465,742,1013,11008,5761,2013,22.215459525258673,39.60362142422398,41.8746195982958
5636,94901,41056,1284,1423,1663,2053,531,747,688,967,27283,7290,2013,14.109996102883866,31.483826968043648,66.45313717848792
464,95838,35584,1303,1202,1474,940,527,347,511,423,14162,1584,2013,14.559914568345322,5.755395683453238,39.79878597122302
2247,98101,10643,812,570,886,788,578,323,653,528,7768,2808,2013,26.665413887061916,47.49600676500987,72.9869397726205
5211,98102,22493,2343,1567,2380,1978,1974,1313,1799,1518,18338,7931,2013,34.930867380962965,58.42706619837282,81.52758636020096
10361,98103,47019,4422,2997,3264,3051,3741,2356,2860,2453,38370,15476,2013,29.094621323294838,54.950126544588365,81.60530849231162
1134,98104,12871,730,509,806,864,512,265,431,509,6199,2490,2013,19.84305803744853,28.156320410224534,48.1625359334939
6956,98105,45332,2094,1006,2178,1334,1371,712,1725,849,32029,7494,2013,13.862172416835788,31.875937527574337,70.65428394952792
1231,98106,23855,1148,1413,1111,1024,658,697,673,676,13081,4056,2013,21.31628589394257,22.16306853909034,54.83546426325718
4284,98107,21996,2169,1508,2213,1932,1784,1101,1969,1870,18878,7566,2013,33.63338788870704,53.873431533006,85.82469539916349
1276,98108,24026,1123,1076,947,905,536,433,546,474,7869,3361,2013,17.572629651211187,19.299925081162076,32.75201864646633
4406,98109,22030,2322,1463,2130,1602,1907,1172,1700,1378,18262,7818,2013,33.490694507489785,55.48797094870631,82.89605083976396
6349,98112,21622,955,1153,1044,866,796,955,924,768,18343,6183,2013,19.910276570160022,57.95948570900009,84.83489038941818
12014,98115,47611,2330,1961,2799,2333,1755,1572,2057,1814,39611,13099,2013,19.010312742853543,52.74621411018462,83.1971603200941
3776,98116,23671,781,946,703,1057,529,721,621,818,20542,6763,2013,14.262177347809557,44.52283384732373,86.7812935659668
5968,98117,30719,994,1403,1006,1265,887,1256,897,1193,27358,8779,2013,15.645040528663042,48.00611999088512,89.05888863569777
4073,98118,43618,1467,1609,1490,1304,530,766,493,584,15190,6074,2013,14.156999403915815,23.263331652070246,34.825072217891694
4686,98119,22360,1692,1137,1166,1105,1232,891,967,960,18508,6009,2013,22.951699463327373,47.8309481216458,82.77280858676207
2794,98121,12183,876,506,1243,1079,527,378,828,619,8003,3447,2013,25.699745547073793,51.227119757038494,65.68989575638184
5812,98122,32722,2525,1805,2870,2463,1926,1539,2048,1970,21682,8238,2013,27.519711509076462,42.93747325958071,66.2612309761017
5548,98125,36644,1740,1543,2079,1704,935,1109,1176,1214,25403,8201,2013,18.843466870428994,37.52046719790416,69.32376378124658
2564,98126,20631,901,1174,892,930,587,872,589,819,14446,5106,2013,20.071736706897386,37.177063642091994,70.02084242159856
4354,98133,46405,2175,1807,1853,2582,1444,1123,1282,1687,31339,9165,2013,16.46805301152893,29.1326365693352,67.5336709406314
140,98134,856,49,62,9,90,21,26,9,38,401,71,2013,21.261682242990652,24.649532710280376,46.845794392523366
2426,98136,14899,360,861,663,556,273,722,628,488,12592,4311,2013,18.42405530572522,45.217799852339084,84.51573931136318
3842,98144,26429,1198,1095,1454,1079,623,707,912,776,12847,5889,2013,18.320783987286692,36.81940292860116,48.609482008399866
1590,98146,25281,851,989,731,882,494,467,423,485,15528,2965,2013,14.081721450891974,18.017483485621614,61.421620980182745
199,90001,56314,2338,2086,2707,2127,1185,1172,1379,1143,28097,1009,2014,16.367155591859927,2.1451148915012253,49.89345455836914
4040,90004,63547,2449,2586,3101,3293,761,977,1112,958,21951,10780,2014,16.872551025225423,23.321321226808504,34.54293672399956
1517,90007,43779,2162,1115,2480,1511,408,211,643,499,12602,2863,2014,15.697023687155943,10.00479682039334,28.785490760410244
471,90010,3792,312,279,256,156,69,0,78,26,747,1060,2014,29.69409282700422,40.37447257383967,19.699367088607595
2125,90012,30029,1747,943,2398,2053,573,248,805,858,8562,4134,2014,20.08391887841753,20.8431849212428,28.512437976622596
992,90013,10575,569,438,736,608,241,121,306,250,3385,2246,2014,20.624113475177307,30.619385342789595,32.009456264775416
803,90014,6659,573,203,510,603,395,99,409,443,3298,1590,2014,22.360714822045352,35.93632677579216,49.526955999399306
928,90015,18226,770,729,839,1165,360,192,318,300,5777,1966,2014,16.827608910347855,15.878415450455394,31.69647755953034
1988,90016,47786,2013,1636,1910,1518,524,478,600,410,13618,3871,2014,15.05671117063575,12.260913238186918,28.497886410245677
1109,90017,23719,1216,1115,1587,1569,378,309,481,566,7251,2182,2014,21.219275686158774,13.874952569669885,30.57042877018424
1425,90018,48852,1968,1827,1972,1678,473,390,442,300,9921,2983,2014,15.544911160239089,9.023172029804307,20.30827806435765
4369,90019,67606,2897,2766,3014,2752,1204,1021,1165,1332,25153,10030,2014,16.926012484099047,21.298405466970387,37.20527763807946
2470,90020,39102,1963,1664,2313,2215,567,360,586,590,9763,8005,2014,19.446575622730293,26.78891105314306,24.96803232571224
67,90021,2913,111,120,141,174,24,63,107,74,1112,370,2014,16.889804325437694,15.00171644352901,38.173704085135604
401,90023,45886,1610,1705,1557,1667,771,809,732,889,23679,1308,2014,14.333347862093012,3.7244475439131763,51.60397506864839
8463,90024,50117,1925,1204,2424,1272,1141,675,1698,706,30419,7920,2014,13.48245106450905,32.68950655466209,60.69597142686114
9680,90025,45284,3396,3177,3773,3095,2000,1659,2159,1753,28250,13693,2014,29.862644642699408,51.614256691105034,62.38406501192474
4815,90026,67986,3840,3716,3354,4039,2539,2726,2553,2932,44464,12038,2014,21.513252728502927,24.7889271320566,65.40170035007208
5848,90027,46025,2941,2356,3289,2792,2111,1459,2428,1723,30595,12226,2014,23.774035850081475,39.26996197718631,66.47474198804997
2167,90028,29994,2061,1326,2664,2382,1306,812,1615,1325,17966,6893,2014,24.59491898379676,30.206041208241647,59.89864639594585
1528,90029,40161,1945,1398,2442,2120,905,715,1355,970,17533,5865,2014,17.885510818953712,18.408406165185127,43.656781454645056
1056,90031,39333,1358,1278,1592,1578,469,398,522,614,14751,2549,2014,13.998423715455216,9.165331909592455,37.502860193730456
515,90033,48567,1768,1525,2051,1496,975,1024,1048,901,26976,1663,2014,14.143348364115552,4.484526530360121,55.543887825066406
8584,90034,58968,5105,3524,4584,3972,3093,1786,3066,2435,35974,13629,2014,28.383190883190885,37.669583502916836,61.005969339302666
5247,90035,31399,1429,1684,1483,1813,945,1094,1129,1270,22568,8632,2014,20.000636962960606,44.20204465110354,71.87490047453741
6193,90036,36425,2932,2451,2049,2560,2076,1631,1552,1656,23883,12229,2014,27.132463967055592,50.575154426904604,65.56760466712423
