zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
91403,Starbucks Coffee #27261,Starbucks Corporation,Sherman Oaks,4550   Van Nuys Blvd   #K,"{'latitude': '34.1547', 'longitude': '-118.448'}",2017-01-18T00:00:00.000,
90015,Starbucks Coffee #48339,Starbucks Corporation,Los Angeles,1249 S Grand Avenue,"{'latitude': '0.0', 'longitude': '0.0'}",2017-03-01T00:00:00.000,
91601,Starbucks Coffee # 22417,Starbucks Corporation,North Hollywood,4853   Lankershim Blvd,"{'latitude': '34.1589', 'longitude': '-118.3715'}",2016-04-14T00:00:00.000,
91606,Starbucks Coffee Company # 26769,Starbucks Corporation,North Hollywood,6060   Lankershim Blvd,"{'latitude': '34.1814', 'longitude': '-118.3839'}",2017-05-25T00:00:00.000,
90029,Starbucks Coffee Company # 24933,Starbucks Corporation,Los Angeles,1277 N Western Avenue,"{'latitude': '34.0946', 'longitude': '-118.3095'}",2017-01-12T00:00:00.000,
90027,Starbucks Coffee #24851,Starbucks Corporation,Los Angeles,2720   Griffith Park Blvd,"{'latitude': '34.1074', 'longitude': '-118.2727'}",2016-09-30T00:00:00.000,
90017,Starbucks Coffee Company # 49792,Starbucks Corporation,Los Angeles,1102 W 6Th Street,"{'latitude': '34.0538', 'longitude': '-118.2628'}",2017-07-20T00:00:00.000,
91306,Starbucks Coffee #49978,Starbucks Corporation,Winnetka,20056   Sherman Way,"{'latitude': '34.2007', 'longitude': '-118.5705'}",2017-06-29T00:00:00.000,
90501,Starbucks Coffee Company # 26770,Starbucks Corporation,Los Angeles,21776 S Western Avenue,"{'latitude': '0.0', 'longitude': '0.0'}",2017-01-12T00:00:00.000,
90015,Starbucks Coffee #47433,Starbucks Corporation,Los Angeles,400 W Olympic Blvd,"{'latitude': '34.0422', 'longitude': '-118.2596'}",2017-03-12T00:00:00.000,
90026,Starbucks Coffee #53657,Starbucks Corporation,Los Angeles,2110 W Sunset Blvd,"{'latitude': '34.0772', 'longitude': '-118.2641'}",2017-10-12T00:00:00.000,
90232,Starbucks Coffee #50325,Starbucks Corporation,Culver City,10601   Washington Blvd,"{'latitude': '34.0174', 'longitude': '-118.4052'}",2018-09-13T00:00:00.000,
90067,Starbuck Coffee #9228,Starbucks Corporation,Los Angeles,2049 Century Parks  E Unit #Rol16,"{'latitude': '34.0591', 'longitude': '-118.4126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1991-01-01T00:00:00.000,
90024,Starbucks Coffee # 11603,Starbucks Corporation,Los Angeles,1500   Westwood Blvd,"{'latitude': '34.054', 'longitude': '-118.4402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-26T00:00:00.000,
90004,Starbucks Coffee #58623,Starbucks Corporation,Los Angeles,181 S Vermont Avenue,"{'latitude': '34.0706', 'longitude': '-118.2921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-19T00:00:00.000,
90028,Starbucks #24163,Starbucks Corporation,Los Angeles,5929 W Sunset Blvd,"{'latitude': '34.0984', 'longitude': '-118.319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-27T00:00:00.000,
90041,Starbucks Coffee #13286,Starbucks Corporation,Los Angeles,4430 York Blvd,"{'latitude': '34.1239', 'longitude': '-118.2198'}",2008-08-01T00:00:00.000,
90020,Starbucks Coffee Company # 54501,Starbucks Corporation,Los Angeles,3465 W 6Th Street   Unit #30/40,"{'latitude': '34.064', 'longitude': '-118.2973'}",2018-08-30T00:00:00.000,
90048,Starbucks Coffee #59684,Starbucks Corporation,Los Angeles,8500   Beverly Blvd   #701,"{'latitude': '34.076', 'longitude': '-118.3766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-11-14T00:00:00.000,
90710,Starbucks Coffee #28816,Starbucks Corporation,Harbor City,1630   Sepulveda Blvd,"{'latitude': '33.8164', 'longitude': '-118.3081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-26T00:00:00.000,
90028,Starbucks Coffee #24163,Starbucks Corporation,Los Angeles,5929 W Sunset Blvd,"{'latitude': '34.0984', 'longitude': '-118.319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-27T00:00:00.000,
90027,Starbucks #55650,Starbucks Corporation,Los Angeles,4700 W Sunset Blvd,"{'latitude': '34.0978', 'longitude': '-118.2921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-27T00:00:00.000,
90015,Starbucks Coffee Company # 10939,Starbucks Corporation,Los Angeles,1111 S Grand Avenue,"{'latitude': '34.0414', 'longitude': '-118.2621'}",2006-08-18T00:00:00.000,
91325,Starbucks Coffee #48677,Starbucks Corporation,Northridge,9900   Balboa Blvd,"{'latitude': '34.2506', 'longitude': '-118.502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-12-20T00:00:00.000,
91303,,Starbucks Corporation,Canoga Park,7050   Topanga Canyon Blvd,"{'latitude': '34.1986', 'longitude': '-118.6055'}",2017-05-11T00:00:00.000,
90501,Starbucks Coffee #5738,Starbucks Corporation,,11155 Santa Monica Blvd,"{'latitude': '0.0', 'longitude': '0.0'}",2000-04-22T00:00:00.000,
91402,Starbucks Coffee #56002,Starbucks Corporation,Panorama City,14640   Roscoe Blvd,"{'latitude': '34.221', 'longitude': '-118.4511'}",2019-06-27T00:00:00.000,
90057,Starbucks Coffee Company # 50498,Starbucks Corporation,Los Angeles,230 S Alvarado Street,"{'latitude': '34.0631', 'longitude': '-118.2722'}",2018-11-15T00:00:00.000,
91601,Starbucks Coffee #5642,Starbucks Corporation,N Hollywood,5166 Lankershim Blvd,"{'latitude': '34.1643', 'longitude': '-118.3743'}",1998-10-24T00:00:00.000,
91604,Alfred Coffee Studio City,Ventura Place Coffee Company,Studio City,12077   Ventura Place,"{'latitude': '34.145', 'longitude': '-118.395'}",2016-09-12T00:00:00.000,
90049,Alfred Coffee Brentwood,San Vicente Coffee Company,Los Angeles,11908 San Vicente Blvd,"{'latitude': '34.0525', 'longitude': '-118.4702'}",2015-02-24T00:00:00.000,
90010,Alfred Coffee Koreatown,Wilshire Blvd Coffee Company,Los Angeles,3515   Wilshire Blvd,"{'latitude': '34.0621', 'longitude': '-118.301'}",2018-08-01T00:00:00.000,
90026,Alfred Coffee Silverake,Silverlake Coffee Company,Los Angeles,3337 W Sunset Blvd Unit #1/2,"{'latitude': '34.087', 'longitude': '-118.2755'}",2015-08-01T00:00:00.000,
90069,Alfred Coffee & Kitchen,Melrose Place Coffee Company,Los Angeles,8428 Melrose Place Unit #A,"{'latitude': '34.0836', 'longitude': '-118.3742'}",2013-01-23T00:00:00.000,
90027,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,2066   Hillhurst Avenue,"{'latitude': '34.1095', 'longitude': '-118.2871'}",2016-12-01T00:00:00.000,
90067,Blue Bottle Coffee,Blue Bottle Coffee Inc,Century City,10250   Santa Monica Blvd   #1765,"{'latitude': '34.06', 'longitude': '-118.4198'}",2018-06-06T00:00:00.000,
90049,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,13050   San Vicente Blvd   Suite #108,"{'latitude': '34.0482', 'longitude': '-118.4911'}",2017-03-23T00:00:00.000,
90013,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,300 S Broadway     #30012,"{'latitude': '34.0506', 'longitude': '-118.2479'}",2016-12-01T00:00:00.000,
90046,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,830 N Fairfax Avenue   Building #A,"{'latitude': '34.0863', 'longitude': '-118.3611'}",2017-03-23T00:00:00.000,
91364,Blue Bottle Coffee,Blue Bottle Coffee Inc,Woodland Hills,20929   Ventura Blvd,"{'latitude': '34.1672', 'longitude': '-118.5894'}",2019-03-03T00:00:00.000,
90048,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,8301 Beverly Blvd,"{'latitude': '34.076', 'longitude': '-118.37'}",2014-12-01T00:00:00.000,
90094,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,12015   Waterfront Drive   Suite #A,"{'latitude': '33.983', 'longitude': '-118.4047'}",2017-03-23T00:00:00.000,
90048,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,116 N Robertson Blvd   Plaza #B,"{'latitude': '34.076', 'longitude': '-118.3832'}",2017-03-23T00:00:00.000,
90013,Blue Bottle Coffee,Blue Bottle Coffee Inc,Los Angeles,582   Mateo Street,"{'latitude': '34.0389', 'longitude': '-118.2325'}",2016-06-29T00:00:00.000,
90291,Blue Bottle Coffee,Blue Bottle Coffee Inc,Venice,1103 Abbot Kinney Blvd Unit #1,"{'latitude': '33.9918', 'longitude': '-118.4706'}",2014-04-15T00:00:00.000,
91303,Peets Coffee Topanga Mall,Consol Topanga 1058G Llc,Canoga Park,6600 Topanga Canyon Blvd #1058G,"{'latitude': '34.1898', 'longitude': '-118.6058'}",2015-11-23T00:00:00.000,
91367,Peets Coffee Topanga Village,Mcs Consolidated Group Inc,Woodland Hills,6250 Topanga Canyon Blvd Suite #1593,"{'latitude': '34.1838', 'longitude': '-118.6058'}",2015-10-06T00:00:00.000,
