business_zip,dba_name,ownership_name,city,full_business_address,neighborhoods_analysis_boundaries,location,location_start_date,location_end_date,lic_code_description
94115,Starbucks Coffee #2997,Starbucks Corporation,San Francisco,1501 Fillmore St,Western Addition,"{'type': 'Point', 'coordinates': [-122.432711, 37.783296]}",2004-03-18T00:00:00.000,,Multiple
94103,Starbucks Coffee #6867,Starbucks Corporation,San Francisco,350 Rhode Island,,"{'type': 'Point', 'coordinates': [-122.402745, 37.766063]}",2003-10-19T00:00:00.000,,Multiple
94102,Starbucks Coffee #6937,Starbucks Corporation,San Francisco,1390 Market St,Tenderloin,"{'type': 'Point', 'coordinates': [-122.417111, 37.776865]}",2003-09-20T00:00:00.000,,Multiple
94109,Starbucks Coffee #6927,Starbucks Corporation,San Francisco,680 Beach St,,"{'type': 'Point', 'coordinates': [-122.42044, 37.806686]}",2003-09-27T00:00:00.000,2014-07-03T00:00:00.000,
94108,Starbucks Coffee #6765,Starbucks Corporation,San Francisco,359 Grant Ave,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.405513, 37.790293]}",2002-10-17T00:00:00.000,,Multiple
94133,Starbucks Coffee #5945,Starbucks Corporation,San Francisco,2801 Jones St 111,North Beach,"{'type': 'Point', 'coordinates': [-122.417296, 37.80728]}",2001-04-14T00:00:00.000,2018-11-05T00:00:00.000,Multiple
94105,Starbucks Coffee #5852,Starbucks Corporation,San Francisco,199 Fremont St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.395309, 37.789371]}",2001-02-12T00:00:00.000,,Multiple
94132,Starbucks Coffee #5851,Starbucks Corporation,San Francisco,3251 20th Ave 250f,Lakeshore,"{'type': 'Point', 'coordinates': [-122.475605, 37.727905]}",2000-09-16T00:00:00.000,,Multiple
94111,Starbucks Coffee #5726,Starbucks Corporation,San Francisco,1255 Battery St 600,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401907, 37.802853]}",2000-05-27T00:00:00.000,,Multiple
94111,Starbucks Coffee #9224,Starbucks Corporation,San Francisco,701 Battery St,,"{'type': 'Point', 'coordinates': [-122.400914, 37.797853]}",2000-01-01T00:00:00.000,,Multiple
94105,Starbucks Coffee #9211,Starbucks Corporation,San Francisco,1 Market St,,"{'type': 'Point', 'coordinates': [-122.395302, 37.794096]}",2000-01-01T00:00:00.000,2017-05-04T00:00:00.000,
94114,Starbucks Coffee #9212,Starbucks Corporation,San Francisco,4094 18th St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.434904, 37.760892]}",2000-01-01T00:00:00.000,,Multiple
94111,Starbucks Coffee #9213,Starbucks Corporation,San Francisco,565 Clay St,Chinatown,"{'type': 'Point', 'coordinates': [-122.402685, 37.794734]}",2000-01-01T00:00:00.000,,Multiple
94111,Starbucks Coffee #9216,Starbucks Corporation,San Francisco,398 Market St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.398338, 37.791694]}",2000-01-01T00:00:00.000,,Multiple
94117,Starbucks Coffee #9215,Starbucks Corporation,San Francisco,350 Parnassus Ave,,"{'type': 'Point', 'coordinates': [-122.455934, 37.764041]}",2000-01-01T00:00:00.000,,Multiple
94105,Starbucks Coffee #9219,Starbucks Corporation,San Francisco,333 Market St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.397791, 37.792119]}",2000-01-01T00:00:00.000,,Multiple
94111,Starbucks Coffee #9222,Starbucks Corporation,San Francisco,52 California St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.397445, 37.793586]}",2000-01-01T00:00:00.000,,Multiple
94104,Starbucks Coffee #9221,Starbucks Corporation,San Francisco,555 California St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.403858, 37.792715]}",2000-01-01T00:00:00.000,,Multiple
94108,Starbucks Coffee #5757,Starbucks Corporation,San Francisco,390 Sutter St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.406838, 37.789435]}",2000-02-26T00:00:00.000,,Multiple
94104,Starbucks Coffee #5752,Starbucks Corporation,San Francisco,44 Montgomery St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.402127, 37.789704]}",2000-01-04T00:00:00.000,,Multiple
94102,Starbucks Coffee #5649,Starbucks Corporation,San Francisco,222 Mason St,Tenderloin,"{'type': 'Point', 'coordinates': [-122.409575, 37.785613]}",1999-04-03T00:00:00.000,,Multiple
94127,Starbucks Coffee #5669,Starbucks Corporation,San Francisco,675 Portola Dr,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.452875, 37.744822]}",1999-03-20T00:00:00.000,,Multiple
94111,Starbucks Coffee #5625,Starbucks Corporation,San Francisco,27 Drumm St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.396542, 37.794072]}",1999-02-15T00:00:00.000,,Multiple
94105,Starbucks Coffee #5646,Starbucks Corporation,San Francisco,455 Market St,,"{'type': 'Point', 'coordinates': [-122.39888, 37.791265]}",1998-12-12T00:00:00.000,,Multiple
94122,Starbucks Coffee #5584,Starbucks Corporation,San Francisco,1800 Irving St,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.477377, 37.763564]}",1998-10-10T00:00:00.000,,Multiple
94109,Starbucks Coffee #5517,Starbucks Corporation,San Francisco,1560 Van Ness Ave,Nob Hill,"{'type': 'Point', 'coordinates': [-122.422172, 37.789974]}",1998-02-23T00:00:00.000,,Multiple
94105,Starbucks Coffee #5486,Starbucks Corporation,San Francisco,36 2nd St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.400805, 37.788793]}",1998-06-27T00:00:00.000,,Multiple
94107,Starbucks Coffee #5516,Starbucks Corporation,San Francisco,490 Brannan St,South of Market,"{'type': 'Point', 'coordinates': [-122.39628, 37.778525]}",1998-05-18T00:00:00.000,,Multiple
94102,Starbucks Coffee #5464,Starbucks Corporation,San Francisco,790 Market St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.405765, 37.785814]}",1998-05-02T00:00:00.000,,Multiple
94110,Starbucks Coffee #6605,Starbucks Corporation,San Francisco,2727 Mariposa St,Mission,"{'type': 'Point', 'coordinates': [-122.410575, 37.763027]}",2001-10-28T00:00:00.000,,Multiple
94121,Starbucks Coffee #5510,Starbucks Corporation,San Francisco,5455 Geary Blvd,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.477824, 37.780336]}",1997-12-15T00:00:00.000,,Multiple
94117,Starbucks Coffee #5395,Starbucks Corporation,San Francisco,1799 Fulton St,Lone Mountain/USF,"{'type': 'Point', 'coordinates': [-122.446485, 37.77582]}",1997-07-26T00:00:00.000,,Multiple
94102,Starbucks Coffee #5405,Starbucks Corporation,San Francisco,140 Van Ness Ave,Tenderloin,"{'type': 'Point', 'coordinates': [-122.419559, 37.776977]}",1997-07-19T00:00:00.000,,Multiple
94102,Starbucks Coffee #5404,Starbucks Corporation,San Francisco,442 Geary St,Tenderloin,"{'type': 'Point', 'coordinates': [-122.410587, 37.787059]}",1997-07-05T00:00:00.000,,Multiple
94105,Starbucks Coffee #5431,Starbucks Corporation,San Francisco,123 Mission St,,"{'type': 'Point', 'coordinates': [-122.39462, 37.792099]}",1997-06-28T00:00:00.000,2017-11-20T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
94107,Starbucks Coffee Company,Starbucks Corporation,San Francisco,444 De Haro St Ste 218,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.401555, 37.764194]}",2001-01-01T00:00:00.000,,
94127,Starbucks Coffee #5271,Starbucks Corporation,San Francisco,100 West Portal Ave,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.467042, 37.739756]}",1996-07-28T00:00:00.000,,Multiple
94103,Starbucks Coffee #5237,Starbucks Corporation,San Francisco,1231 Market St,,"{'type': 'Point', 'coordinates': [-122.415275, 37.778313]}",1997-01-01T00:00:00.000,,Multiple
94103,Starbucks Coffee,Starbucks Corporation,San Francisco,01 120  4th St,South of Market,"{'type': 'Point', 'coordinates': [-122.405883, 37.785718]}",2002-01-01T00:00:00.000,2017-05-04T00:00:00.000,
94114,Starbucks Coffee,Starbucks Corporation,San Francisco,2020 Market St,,"{'type': 'Point', 'coordinates': [-122.427535, 37.768701]}",1997-11-11T00:00:00.000,2018-02-18T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
94105,Starbucks Coffee,Starbucks Corporation,San Francisco,340 Mission St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.395943, 37.791056]}",1997-04-15T00:00:00.000,2012-07-25T00:00:00.000,
94111,Starbucks Coffee,Starbucks Corporation,San Francisco,505 Sansome St,,"{'type': 'Point', 'coordinates': [-122.401564, 37.795122]}",1996-12-14T00:00:00.000,2015-02-13T00:00:00.000,
94115,Starbucks Coffee,Starbucks Corporation,San Francisco,1750 Divisadero St,,"{'type': 'Point', 'coordinates': [-122.439978, 37.785934]}",1996-10-26T00:00:00.000,,Multiple
94118,Starbucks Coffee,Starbucks Corporation,San Francisco,3595 California St,Presidio Heights,"{'type': 'Point', 'coordinates': [-122.453255, 37.786403]}",1992-03-03T00:00:00.000,,Multiple
94111,Starbucks Coffee,Starbucks Corporation,San Francisco,99 Jackson St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.397775, 37.79717]}",1992-03-03T00:00:00.000,,Multiple
94103,Starbucks Coffee,Starbucks Corporation,San Francisco,120 4th St,,"{'type': 'Point', 'coordinates': [-122.40419, 37.784435]}",1995-08-10T00:00:00.000,,Multiple
94105,Starbucks Coffee,Starbucks Corporation,San Francisco,201 Spear St,,"{'type': 'Point', 'coordinates': [-122.392069, 37.790953]}",1995-06-24T00:00:00.000,,Multiple
94108,Starbucks Coffee,Starbucks Corporation,San Francisco,264 Kearny St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.404003, 37.790549]}",1995-03-04T00:00:00.000,,Multiple
94122,Starbucks Coffee,Starbucks Corporation,San Francisco,744 Irving St,Inner Sunset,"{'type': 'Point', 'coordinates': [-122.465451, 37.76408]}",1995-02-11T00:00:00.000,,Multiple
94105,Starbucks Coffee,Starbucks Corporation,San Francisco,74 New Montgomery St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.400989, 37.787866]}",1992-03-03T00:00:00.000,,Multiple
94114,Starbucks Coffee,Starbucks Corporation,San Francisco,3995 24th St,Noe Valley,"{'type': 'Point', 'coordinates': [-122.431781, 37.75144]}",1993-06-25T00:00:00.000,,Multiple
94104,Starbucks Coffee,Starbucks Corporation,San Francisco,369 Pine St,,"{'type': 'Point', 'coordinates': [-122.402015, 37.79197]}",1992-03-03T00:00:00.000,2003-12-02T00:00:00.000,
94109,Starbucks Coffee,Starbucks Corporation,San Francisco,2163 Polk St,Russian Hill,"{'type': 'Point', 'coordinates': [-122.421931, 37.796646]}",1992-03-03T00:00:00.000,,Multiple
94115,Starbucks Coffee,Starbucks Corporation,San Francisco,2222 Fillmore St,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.434077, 37.790037]}",1992-03-03T00:00:00.000,,Multiple
94123,Starbucks Coffee,Starbucks Corporation,San Francisco,2132 Chestnut St,Marina,"{'type': 'Point', 'coordinates': [-122.438576, 37.800517]}",1992-03-03T00:00:00.000,,Multiple
94123,Starbucks Coffee,Starbucks Corporation,San Francisco,1899 Union St,Marina,"{'type': 'Point', 'coordinates': [-122.430569, 37.797727]}",1992-03-03T00:00:00.000,,Multiple
94111,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,Ferry Bldg The Embarcadero C3,,,2003-03-07T00:00:00.000,,Multiple
94109,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2139 Polk St #C,,"{'type': 'Point', 'coordinates': [-122.42191, 37.79654]}",1993-08-18T00:00:00.000,,Multiple
94103,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2300 16th St Ste 240,Mission,"{'type': 'Point', 'coordinates': [-122.410113, 37.765632]}",1996-08-16T00:00:00.000,,Multiple
94104,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,217 Montgomery St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.40246, 37.791275]}",1997-08-01T00:00:00.000,2017-06-16T00:00:00.000,
94105,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,101 2nd St,,"{'type': 'Point', 'coordinates': [-122.399452, 37.787733]}",2000-10-29T00:00:00.000,2018-05-20T00:00:00.000,Multiple
94111,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,2 Embarcadero Ctr #R2113,,,2005-05-23T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,601 Van Ness Ave,Western Addition,"{'type': 'Point', 'coordinates': [-122.420616, 37.781471]}",2005-12-12T00:00:00.000,,Multiple
94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,680 Mission St,,"{'type': 'Point', 'coordinates': [-122.401767, 37.786481]}",2006-07-10T00:00:00.000,2018-04-18T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
94117,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,310 Broderick St,Hayes Valley,"{'type': 'Point', 'coordinates': [-122.439119, 37.773024]}",2006-09-18T00:00:00.000,,Multiple
94111,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1 California St,,"{'type': 'Point', 'coordinates': [-122.397317, 37.793534]}",2006-12-11T00:00:00.000,,Multiple
94118,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,5201 Geary Blvd,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.475276, 37.780453]}",2006-11-27T00:00:00.000,,Multiple
94132,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1509 Sloat Blvd,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.489163, 37.734038]}",2012-09-26T00:00:00.000,,Multiple
94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,555 9th St #B5,,"{'type': 'Point', 'coordinates': [-122.407662, 37.770594]}",2007-12-03T00:00:00.000,,Multiple
94109,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1400 Van Ness Ave,Nob Hill,"{'type': 'Point', 'coordinates': [-122.421908, 37.788633]}",2008-11-24T00:00:00.000,,Multiple
